Parent Cell,parent_x,parent_y,parent_z,Daughter 1,Daughter 2,Birth Time
ABpraap,381.2574614,275.5720264,14.84231975,ABpraapa,ABpraapp,135
ABprapa,410.7107756,279.5712751,15.21380452,ABprapaa,ABprapap,135
ABprapp,459.6128062,273.7570302,15.13553026,ABprappa,ABprappp,135
ABprpaa,422.8970806,273.4220232,14.67746395,ABprpaaa,ABprpaap,135
ABprpap,457.251957,262.3020414,14.77928506,ABprpapa,ABprpapp,135
ABprppa,488.7970901,271.8132003,14.91786912,ABprppaa,ABprppap,140
ABprppp,499.9163791,258.7957528,15.04657137,ABprpppp,ABprpppa,140
Caaa,384.2048717,260.3205223,15.35676517,Caaap,Caaaa,165
Caap,444.1258349,250.9021264,15.68253361,Caapp,Caapa,180
Capa,439.2218713,244.3084387,15.53393672,Capaa,Capap,185
Capp,470.3793085,245.6898355,15.75751714,Cappa,Cappp,185
Cpaa,457.101685,270.3026369,15.54642785,Cpaap,Cpaaa,170
Cpap,484.7727468,256.1838534,15.72318073,Cpapp,Cpapa,175
Cppa,510.4786422,256.389901,15.185986,Cppap,Cppaa,185
Cppp,496.3944013,246.0713246,15.51964029,Cpppa,Cpppp,185
Daa,420.9223139,241.0410657,14.81265182,Daap,Daaa,210
Dap,450.4642904,240.7831752,14.8623927,Dapa,Dapp,200
Dpa,439.9610893,254.79203,14.74423211,Dpap,Dpaa,210
Dpp,465.4561722,253.4554039,14.77279259,Dppp,Dppa,200
Eala,328.39616,248.2203088,14.87451161,int3V,Ealaa,230
Ealp,363.7773217,245.4671312,14.77614013,int5L,int2V,230
Eara,336.1564059,260.982254,14.76896916,Earaa,int3D,230
Earp,374.1622434,261.8089286,14.60407859,int2D,int5R,230
Epla,410.3360136,250.5968302,14.93266498,int6L,int4V,235
Eplp,450.0145768,249.4783811,14.99260476,Eplpp,int7L,245
Epra,417.7102514,261.999011,14.82280235,int6R,int4D,235
Eprp,458.2698897,259.6253187,15.01597956,Eprpp,int7R,245
MSaaa,259.5248967,241.6598735,14.92934754,MSaaap,MSaaaa,145
MSaap,312.1924972,236.8483146,14.62221377,MSaapa,MSaapp,145
MSapa,323.4585615,230.1302348,14.91957739,MSapap,MSapaa,150
MSapp,365.73525,229.8028175,15.06906042,MSappa,MSappp,150
MSpaa,320.3938388,249.5255739,14.51641979,MSpaaa,MSpaap,150
MSpap,371.5199311,239.5351075,14.56264573,MSpapp,MSpapa,150
MSppa,396.0524845,255.7733215,14.54880726,MSppap,MSppaa,155
MSppp,430.4009325,245.639545,14.71864641,MSpppp,MSpppa,155
ABalaaaa,0,0,0,ABalaaaar,ABalaaaal,175
ABalaaap,0,0,0,ABalaaapp,ABalaaapa,170
ABalaapa,232.0078428,260.4625051,14.78662316,ABalaapaa,ABalaapap,175
ABalaapp,270.5096782,261.5629597,14.79945077,ABalaappa,ABalaappp,170
ABalapaa,216.6417442,260.9151408,15.3957174,ABalapaaa,ABalapaap,170
ABalapap,246.7830367,265.7180243,15.55528159,ABalapapp,ABalapapa,160
ABalappa,252.769304,263.4639287,15.16896115,ABalappaa,ABalappap,170
ABalappp,295.1480545,261.1899236,15.07488185,ABalapppa,ABalapppp,160
ABalpaaa,198.2988862,248.6841005,14.88872766,ABalpaaaa,ABalpaaap,175
ABalpaap,216.6056915,243.8969633,15.32984336,ABalpaapp,ABalpaapa,165
ABalpapa,217.252657,237.4380341,15.14316015,ABalpapaa,ABalpapap,165
ABalpapp,260.8288054,233.1001325,15.12090811,ABalpappa,ABalpappp,165
ABalppaa,218.3754603,236.9113593,15.66475398,ABalppaap,ABalppaaa,163
ABalppap,250.5623034,234.3937964,15.66736719,ABalppapp,ABalppapa,153
ABalpppa,264.4252733,240.2717944,15.46651649,ABalpppap,ABalpppaa,165
ABalpppp,303.8627773,237.6834842,15.22104219,ABalppppa,ABalppppp,148
ABaraaaa,220.0746359,260.6076648,14.71121213,ABaraaaap,ABaraaaaa,180
ABaraaap,254.685285,266.7712898,14.77358912,ABaraaapa,ABaraaapp,175
ABaraapa,251.4049227,256.4755875,14.75823704,ABaraapaa,ABaraapap,175
ABaraapp,295.8332103,254.3032855,14.68310169,ABaraappp,ABaraappa,175
ABarapaa,275.5930917,269.8340464,14.64328713,ABarapaaa,ABarapaap,180
ABarapap,314.5660799,267.9069376,14.63340904,ABarapapp,ABarapapa,175
ABarappa,332.5922734,270.0779785,14.61040354,ABarappaa,ABarappap,175
ABarappp,363.0155834,267.7331359,14.51092848,ABarapppa,ABarapppp,175
ABarpaaa,251.4283959,273.9600642,15.16967981,ABarpaaap,ABarpaaaa,180
ABarpaap,289.5477938,275.3004016,15.3313288,ABarpaapp,ABarpaapa,170
ABarpapa,291.419432,272.2228112,15.02101255,ABarpapap,ABarpapaa,175
ABarpapp,335.0705541,271.6721457,15.05003199,ABarpappa,ABarpappp,175
ABarppaa,322.8081369,271.8259648,15.51651126,ABarppaap,ABarppaaa,187
ABarppap,361.2234758,264.9716453,15.3598269,ABarppapp,ABarppapa,180
ABarpppa,371.6029381,273.3332337,15.25014813,ABarpppaa,ABarpppap,187
ABarpppp,415.4451006,269.2422585,15.24295116,ABarppppp,ABarppppa,180
ABplaaaa,222.8310957,256.2313337,15.83384069,ABplaaaaa,ABplaaaap,170
ABplaaap,265.7132321,259.14305,15.76765558,ABplaaapa,ABplaaapp,170
ABplaapa,250.2704608,245.1430363,15.91986544,ABplaapaa,ABplaapap,170
ABplaapp,297.1549169,244.1556152,15.54325771,ABplaappa,ABplaappp,170
ABplapaa,297.2075552,258.1702705,15.61370348,ABplapaaa,ABplapaap,175
ABplapap,337.2382632,256.0557696,15.43101081,ABplapapa,ABplapapp,170
ABplappa,341.7497561,243.3564874,15.49504072,ABplappaa,ABplappap,170
ABplappp,389.4516324,240.5237428,15.70356444,ABplapppp,ABplapppa,175
ABplpaaa,268.0258883,229.6032356,15.85382651,ABplpaaap,ABplpaaaa,180
ABplpaap,303.7640946,230.0749155,15.90275493,ABplpaapa,ABplpaapp,175
ABplpapa,313.8273015,225.9452955,15.58783495,ABplpapap,ABplpapaa,170
ABplpapp,358.3766306,226.0183308,15.4317665,ABplpappp,ABplpappa,170
ABplppaa,334.9985999,231.2939905,15.77764069,ABplppaap,ABplppaaa,175
ABplppap,371.9210455,232.6627615,15.64902578,ABplppapa,ABplppapp,175
ABplpppa,391.4513957,228.4018054,15.55431285,ABplpppaa,ABplpppap,170
ABplpppp,423.4080822,230.3263812,15.815062,ABplppppp,ABplppppa,170
ABpraaaa,302.332077,279.5323647,14.87795479,ABpraaaap,ABpraaaaa,170
ABpraaap,336.8476805,282.1340313,15.0163246,ABpraaapp,ABpraaapa,165
ABpraapa,361.5723654,283.0773408,14.86623118,ABpraapaa,ABpraapap,170
ABpraapp,400.0401207,279.5746374,14.90084633,ABpraappa,ABpraappp,170
ABprapaa,393.5024834,281.7884006,15.36924604,ABprapaap,ABprapaaa,175
ABprapap,437.4975271,281.3587856,15.34579705,ABprapapp,ABprapapa,170
ABprappa,458.9955095,276.3837667,14.9897027,ABprappap,ABprappaa,170
ABprappp,487.7503852,268.1788107,15.20960044,ABprapppp,ABprapppa,175
ABprpaaa,371.8862711,277.5726577,14.67763996,ABprpaaap,ABprpaaaa,180
ABprpaap,409.0264757,277.7142667,14.71010986,ABprpaapa,ABprpaapp,175
ABprpapa,413.1438772,270.6407252,14.65319818,ABprpapaa,ABprpapap,165
ABprpapp,448.7854097,263.7149043,14.72059524,ABprpappa,ABprpappp,165
ABprppaa,438.6560775,276.9960084,14.81984252,ABprppaaa,ABprppaap,175
ABprppap,467.4324716,271.3501441,14.83007246,ABprppapp,ABprppapa,175
ABprpppa,491.7578567,267.8921515,14.86524925,ABprpppaa,ABprpppap,170
ABprpppp,491.8935833,257.4102641,14.99672358,ABprppppa,ABprppppp,170
Caaaa,443.0997174,252.4262837,15.55064714,hyp7,hyp7,220
Caaap,485.4384816,248.4232966,15.6102085,hyp7,hyp7,222
Caapa,511.0200265,249.7299448,15.31788427,DVC,Caapap,330
Caapp,508.5569251,246.2262097,15.16942035,hyp7,PVR,235
Capaa,431.6417904,245.2947179,14.76727542,Capaap,Capaaa,250
Capap,458.403597,248.7776302,14.71539502,Capapp,Capapa,250
Cappa,471.1312439,241.8961321,15.11417957,Cappaa,Cappap,240
Cappp,485.9527444,246.8220969,14.96876789,Capppa,Capppp,240
Cpaaa,444.466505,265.804578,15.47470475,hyp7,hyp7,222
Cpaap,490.1382874,262.9152498,15.45060407,hyp7,hyp7,220
Cpapa,515.2941892,259.3526322,15.18136997,hyp7,hyp7,230
Cpapp,517.7547972,252.4220096,15.10576823,hyp7,hyp11,235
Cppaa,448.6339739,259.349839,14.61753631,Cppaaa,Cppaap,250
Cppap,466.5476277,254.609153,14.72715692,Cppapa,Cppapp,250
Cpppa,485.7550787,258.8352979,14.91365872,Cpppaa,Cpppap,240
Cpppp,490.9676692,254.6327006,14.94052622,Cppppp,Cppppa,240
Daaa,378.9593474,233.6122845,15.06656149,mu bod,mu bod,275
Daap,401.1032943,235.7406623,14.67618144,mu bod,mu bod,278
Dapa,396.8483234,231.7401537,14.95318496,mu bod,mu bod,270
Dapp,426.7361129,236.9236762,14.82985116,Dappp,Dappa,265
Dpaa,385.3945606,270.7817293,14.96458625,mu bod,mu bod,275
Dpap,404.7112368,264.2436519,14.74577723,mu bod,mu bod,277
Dppa,401.4305378,277.1328603,15.004295,mu bod,mu bod,270
Dppp,431.0704413,269.5305177,14.97491515,Dpppp,Dpppa,265
Ealaa,317.0629542,249.1490537,15.01746751,int1DL,int1VL,360
Earaa,322.9341673,261.8603508,14.86689327,int1DR,int1VR,360
Eplpp,477.4897414,250.7863693,15.04524707,int8L,int9L,375
MSaaaa,239.7663674,248.033085,14.89809271,MSaaaap,MSaaaaa,180
MSaaap,285.8585866,246.7608979,14.55882043,MSaaapa,MSaaapp,188
MSaapa,309.8064931,239.430847,14.53090083,MSaapaa,MSaapap,180
MSaapp,358.4638942,238.2552883,14.52473266,MSaappa,MSaappp,194
MSapaa,291.7738484,238.4952619,15.03987952,MSapaaa,MSapaap,188
MSapap,320.9070892,236.1746556,14.90680543,MSapapa,MSapapp,188
MSappa,352.2790228,237.503915,14.74392639,MSappaa,MSappap,194
MSappp,381.8782601,235.5156911,14.95978692,MSapppa,MSapppp,194
MSpaaa,291.1192282,257.1864421,14.58870242,MSpaaaa,MSpaaap,185
MSpaap,331.8053217,252.7093203,14.44994526,MSpaapp,MSpaapa,190
MSpapa,355.3575334,247.5496947,14.43180635,MSpapap,MSpapaa,185
MSpapp,402.3732035,245.1062161,14.53383656,MSpappp,MSpappa,195
MSppaa,334.8434979,262.8764708,14.57655841,MSppaaa,MSppaap,190
