x,y,z,min_size,max_size,cell,mother
-38.84454239660412,-8.340007042793903,0.15237425233717614,48.0,100.0,AB,P0
-70.58018832961847,-0.05771039207620121,0.538199611188851,41.0,95.0,ABa,AB
-110.168908868339,-17.410572344938146,-0.03694348645424648,42.0,86.0,ABal,ABa
-107.5545658629132,2.3522490752081064,0.29062433614542305,44.0,79.0,ABala,ABal
-116.49877290959544,-12.008228228669987,0.34979819193300143,34.0,73.0,ABalaa,ABala
-115.45652061801974,-16.51695804097902,-0.35726277125628997,36.0,65.0,ABalaaa,ABalaa
-120.85273570308932,-18.397360188190376,0.1818701556839342,34.0,54.0,ABalaaaa,ABalaaa
-118.6491693485995,-14.811956146321952,0.25716314765238746,26.0,45.0,ABalaaaal,ABalaaaa
-113.54001724608942,-15.237851284394212,0.7162313119604042,26.0,39.0,ABalaaaala,ABalaaaal
-101.83522019811896,-23.35962250210639,-0.01956204597317478,26.0,38.0,ABalaaaalp,ABalaaaal
-131.20115287705363,0.8020638206391887,0.9830129405610042,26.0,47.0,ABalaaaar,ABalaaaa
-116.6419009615558,-6.007659319553217,1.6243632135041386,26.0,38.0,ABalaaaarl,ABalaaaar
-108.02766875181798,9.160880006289478,0.9505804419685582,26.0,38.0,ABalaaaarr,ABalaaaar
-103.96536619523113,-6.475628705646688,-0.8851238407215574,32.0,57.0,ABalaaap,ABalaaa
-133.96023595852714,-2.450545347553524,-0.5892154851043774,27.0,48.0,ABalaaapa,ABalaaap
-108.65516708917669,-10.905345622889001,0.1612773512058435,26.0,40.0,ABalaaapal,ABalaaapa
-107.63024497079662,1.7083615422200324,0.1266979119535069,26.0,40.0,ABalaaapar,ABalaaapa
-107.9615014609316,-0.23497321639784835,-0.634416253338778,26.0,48.0,ABalaaapp,ABalaaap
-120.19110648123429,2.9117852285822106,-0.1764070031270654,26.0,39.0,ABalaaappl,ABalaaapp
-105.9386147868821,7.12773207243603,0.04020429255399761,26.0,40.0,ABalaaappr,ABalaaapp
-95.14542258341926,-28.67825026176283,0.6287169863052027,34.0,63.0,ABalaap,ABalaa
-87.76038741812889,-13.133507945446317,0.3892580184807675,33.0,56.0,ABalaapa,ABalaap
-111.73076860041152,6.0883244241713825,0.4557673094480387,26.0,45.0,ABalaapaa,ABalaapa
-85.75508951538922,2.1754911889514688,1.295561271267903,26.0,38.0,ABalaapaaa,ABalaapaa
-64.54955591855128,7.586558382627358,1.7516877534813413,26.0,38.0,ABalaapaap,ABalaapaa
-90.29070155818421,12.405587797699027,0.1438864025156862,26.0,46.0,ABalaapap,ABalaapa
