hyperedge_id,parent_cell,daughter_1,daughter_2,members,birth_time,parent_x,parent_y,parent_z,hyperedge_weight
LIN_0045,ABprpa,ABprpaa,ABprpap,ABprpa|ABprpaa|ABprpap,105,423.971967,261.4306501,14.80598722,1.0
LIN_0046,ABprpp,ABprppa,ABprppp,ABprpp|ABprppa|ABprppp,105,482.9915544,260.7433146,15.08752792,1.0
LIN_0047,Caa,Caap,Caaa,Caa|Caap|Caaa,133,379.5021827,264.3335192,15.34001519,1.0
LIN_0048,Cap,Capa,Capp,Cap|Capa|Capp,133,435.6006472,253.2647996,15.56125457,1.0
LIN_0049,Cpa,Cpap,Cpaa,Cpa|Cpap|Cpaa,133,462.2538929,268.6330277,15.6687292,1.0
LIN_0050,Cpp,Cppa,Cppp,Cpp|Cppa|Cppp,133,504.2286469,253.8497176,15.72828957,1.0
LIN_0051,Da,Daa,Dap,Da|Daa|Dap,165,463.0025932,236.206777,15.57062952,1.0
LIN_0052,Dp,Dpp,Dpa,Dp|Dpp|Dpa,165,482.323181,243.1799553,14.8597933,1.0
LIN_0053,Eal,Eala,Ealp,Eal|Eala|Ealp,165,371.7831745,242.2771758,15.07778374,1.0
LIN_0054,Ear,Eara,Earp,Ear|Eara|Earp,165,369.1362152,257.1023657,14.5560316,1.0
LIN_0055,Epl,Eplp,Epla,Epl|Eplp|Epla,170,416.9927421,245.7332713,15.04448889,1.0
LIN_0056,Epr,Epra,Eprp,Epr|Epra|Eprp,170,448.9758525,256.8699495,14.81277038,1.0
LIN_0057,MSaa,MSaaa,MSaap,MSaa|MSaaa|MSaap,115,272.7210684,237.327595,14.97960123,1.0
LIN_0058,MSap,MSapa,MSapp,MSap|MSapa|MSapp,120,329.1522222,234.5296801,14.86873362,1.0
LIN_0059,MSpa,MSpap,MSpaa,MSpa|MSpap|MSpaa,120,324.281299,244.4855799,14.6504326,1.0
LIN_0060,MSpp,MSppa,MSppp,MSpp|MSppa|MSppp,122,390.809417,248.4925599,14.62691858,1.0
LIN_0061,ABalaaa,ABalaaaa,ABalaaap,ABalaaa|ABalaaaa|ABalaaap,122,197.0315137,257.0653605,14.99638214,1.0
LIN_0062,ABalaap,ABalaapa,ABalaapp,ABalaap|ABalaapa|ABalaapp,123,227.3749115,248.2103345,14.90215547,1.0
LIN_0063,ABalapa,ABalapaa,ABalapap,ABalapa|ABalapaa|ABalapap,120,218.013404,265.9387344,15.45614872,1.0
LIN_0064,ABalapp,ABalappp,ABalappa,ABalapp|ABalappp|ABalappa,121,257.6543689,257.9911981,15.12492265,1.0
LIN_0065,ABalpaa,ABalpaap,ABalpaaa,ABalpaa|ABalpaap|ABalpaaa,135,206.2655229,243.1368085,15.54148796,1.0
LIN_0066,ABalpaa,ABalpaap,ABalpaaa,ABalpaa|ABalpaap|ABalpaaa,135,210.375,253.0054348,15.6509058,1.0
LIN_0067,ABalpap,ABalpapp,ABalpapa,ABalpap|ABalpapp|ABalpapa,135,243.4659609,232.3277582,15.38144683,1.0
LIN_0068,ABalppa,ABalppap,ABalppaa,ABalppa|ABalppap|ABalppaa,140,252.1796379,236.3270006,16.04450812,1.0
LIN_0069,ABalppp,ABalpppp,ABalpppa,ABalppp|ABalpppp|ABalpppa,135,297.908291,231.8768665,15.59217269,1.0
LIN_0070,ABaraaa,ABaraaaa,ABaraaap,ABaraaa|ABaraaaa|ABaraaap,135,238.6888564,264.2361982,14.7958557,1.0
LIN_0071,ABaraap,ABaraapa,ABaraapp,ABaraap|ABaraapa|ABaraapp,135,280.3439272,254.9510055,14.70914243,1.0
LIN_0072,ABarapa,ABarapaa,ABarapap,ABarapa|ABarapaa|ABarapap,135,291.4656386,271.4315708,14.59540302,1.0
LIN_0073,ABarapp,ABarappp,ABarappa,ABarapp|ABarappp|ABarappa,135,341.8908432,263.1233876,14.53721086,1.0
LIN_0074,ABarpaa,ABarpaap,ABarpaaa,ABarpaa|ABarpaap|ABarpaaa,135,267.4234513,276.6945018,15.3578874,1.0
LIN_0075,ABarpap,ABarpapp,ABarpapa,ABarpap|ABarpapp|ABarpapa,135,309.9252428,268.3152525,14.86906399,1.0
LIN_0076,ABarppa,ABarppap,ABarppaa,ABarppa|ABarppap|ABarppaa,135,325.6321453,278.2309833,15.59762392,1.0
LIN_0077,ABarppp,ABarpppp,ABarpppa,ABarppp|ABarpppp|ABarpppa,135,377.1299503,276.469538,15.29821202,1.0
LIN_0078,ABplaaa,ABplaaaa,ABplaaap,ABplaaa|ABplaaaa|ABplaaap,135,242.5593308,261.863769,15.97431541,1.0
LIN_0079,ABplaap,ABplaapp,ABplaapa,ABplaap|ABplaapp|ABplaapa,135,275.8672151,249.1491022,15.5849351,1.0
LIN_0080,ABplapa,ABplapaa,ABplapap,ABplapa|ABplapaa|ABplapap,135,301.5548423,263.7251875,15.47604456,1.0
LIN_0081,ABplapp,ABplappa,ABplappp,ABplapp|ABplappa|ABplappp,135,338.5804747,249.6586411,15.42439953,1.0
LIN_0082,ABplpaa,ABplpaaa,ABplpaap,ABplpaa|ABplpaaa|ABplpaap,135,322.1385309,232.522524,16.0125239,1.0
LIN_0083,ABplpap,ABplpapa,ABplpapp,ABplpap|ABplpapa|ABplpapp,135,371.7556098,227.9442548,15.63065621,1.0
LIN_0084,ABplppa,ABplppaa,ABplppap,ABplppa|ABplppaa|ABplppap,140,377.2385274,239.3303457,15.88335523,1.0
LIN_0085,ABplppp,ABplpppa,ABplpppp,ABplppp|ABplpppa|ABplpppp,140,421.9675176,233.5335467,15.82439499,1.0
LIN_0086,ABpraaa,ABpraaap,ABpraaaa,ABpraaa|ABpraaap|ABpraaaa,135,334.0521015,281.7111584,14.92925856,1.0
LIN_0087,ABpraap,ABpraapa,ABpraapp,ABpraap|ABpraapa|ABpraapp,135,381.2574614,275.5720264,14.84231975,1.0
LIN_0088,ABprapa,ABprapaa,ABprapap,ABprapa|ABprapaa|ABprapap,135,410.7107756,279.5712751,15.21380452,1.0
LIN_0089,ABprapp,ABprappa,ABprappp,ABprapp|ABprappa|ABprappp,135,459.6128062,273.7570302,15.13553026,1.0
