motif_id,adult_A,adult_B,adult_C,embryo_A_wormbase_raw,embryo_B_wormbase_raw,embryo_C_wormbase_raw,embryo_A_sulston,embryo_B_sulston,embryo_C_sulston,synapses_A_to_B,synapses_A_to_C,synapses_B_to_C,total_synapses,hyperedge_weight_w_e,neurotransmitter_A,all_embryo_mapped
FFL_0000,ADAL,AIBL,AVBL,AB plapaaaapp,AB plaapappa,AB plpaapaap,ABplapaaaapp,ABplaapappa,ABplpaapaap,1.0,4.0,5.0,10.0,2.397895,exc,True
FFL_0001,ADAL,AIBL,RIML,AB plapaaaapp,AB plaapappa,AB plppaapap,ABplapaaaapp,ABplaapappa,ABplppaapap,1.0,3.0,2.0,6.0,1.94591,exc,True
FFL_0002,ADAL,AIBR,AVAR,AB plapaaaapp,AB praapappa,AB alaappapa,ABplapaaaapp,ABpraapappa,ABalaappapa,2.0,2.0,1.0,5.0,1.791759,exc,True
FFL_0003,ADAL,AIBR,AVBR,AB plapaaaapp,AB praapappa,AB prpaapaap,ABplapaaaapp,ABpraapappa,ABprpaapaap,2.0,7.0,3.0,12.0,2.564949,exc,True
FFL_0004,ADAL,AIBR,AVEL,AB plapaaaapp,AB praapappa,AB alpppaaaa,ABplapaaaapp,ABpraapappa,ABalpppaaaa,2.0,1.0,1.0,4.0,1.609438,exc,True
FFL_0005,ADAL,AIBR,RIML,AB plapaaaapp,AB praapappa,AB plppaapap,ABplapaaaapp,ABpraapappa,ABplppaapap,2.0,3.0,16.0,21.0,3.091042,exc,True
FFL_0006,ADAL,AVAR,AVBL,AB plapaaaapp,AB alaappapa,AB plpaapaap,ABplapaaaapp,ABalaappapa,ABplpaapaap,2.0,4.0,1.0,7.0,2.079442,exc,True
FFL_0007,ADAL,AVAR,AVDL,AB plapaaaapp,AB alaappapa,AB alaaapalr,ABplapaaaapp,ABalaappapa,ABalaaapalr,2.0,1.0,1.0,4.0,1.609438,exc,True
FFL_0008,ADAL,AVAR,AVEL,AB plapaaaapp,AB alaappapa,AB alpppaaaa,ABplapaaaapp,ABalaappapa,ABalpppaaaa,2.0,1.0,2.0,5.0,1.791759,exc,True
FFL_0009,ADAL,AVBL,AVAR,AB plapaaaapp,AB plpaapaap,AB alaappapa,ABplapaaaapp,ABplpaapaap,ABalaappapa,4.0,2.0,7.0,13.0,2.639057,exc,True
FFL_0010,ADAL,AVBL,AVBR,AB plapaaaapp,AB plpaapaap,AB prpaapaap,ABplapaaaapp,ABplpaapaap,ABprpaapaap,4.0,7.0,1.0,12.0,2.564949,exc,True
FFL_0011,ADAL,AVBL,AVDL,AB plapaaaapp,AB plpaapaap,AB alaaapalr,ABplapaaaapp,ABplpaapaap,ABalaaapalr,4.0,1.0,1.0,6.0,1.94591,exc,True
FFL_0012,ADAL,AVBL,AVEL,AB plapaaaapp,AB plpaapaap,AB alpppaaaa,ABplapaaaapp,ABplpaapaap,ABalpppaaaa,4.0,1.0,1.0,6.0,1.94591,exc,True
FFL_0013,ADAL,AVBR,AVAR,AB plapaaaapp,AB prpaapaap,AB alaappapa,ABplapaaaapp,ABprpaapaap,ABalaappapa,7.0,2.0,7.0,16.0,2.833213,exc,True
FFL_0014,ADAL,AVBR,AVBL,AB plapaaaapp,AB prpaapaap,AB plpaapaap,ABplapaaaapp,ABprpaapaap,ABplpaapaap,7.0,4.0,1.0,12.0,2.564949,exc,True
FFL_0015,ADAL,AVDL,AVAR,AB plapaaaapp,AB alaaapalr,AB alaappapa,ABplapaaaapp,ABalaaapalr,ABalaappapa,1.0,2.0,19.0,22.0,3.135494,exc,True
FFL_0016,ADAL,AVEL,AVAR,AB plapaaaapp,AB alpppaaaa,AB alaappapa,ABplapaaaapp,ABalpppaaaa,ABalaappapa,1.0,2.0,7.0,10.0,2.397895,exc,True
FFL_0017,ADAL,AVJR,AVAR,AB plapaaaapp,AB alapppppa,AB alaappapa,ABplapaaaapp,ABalapppppa,ABalaappapa,5.0,2.0,1.0,8.0,2.197225,exc,True
FFL_0018,ADAL,AVJR,AVBL,AB plapaaaapp,AB alapppppa,AB plpaapaap,ABplapaaaapp,ABalapppppa,ABplpaapaap,5.0,4.0,3.0,12.0,2.564949,exc,True
FFL_0019,ADAL,AVJR,AVBR,AB plapaaaapp,AB alapppppa,AB prpaapaap,ABplapaaaapp,ABalapppppa,ABprpaapaap,5.0,7.0,1.0,13.0,2.639057,exc,True
FFL_0020,ADAL,AVJR,AVDL,AB plapaaaapp,AB alapppppa,AB alaaapalr,ABplapaaaapp,ABalapppppa,ABalaaapalr,5.0,1.0,1.0,7.0,2.079442,exc,True
FFL_0021,ADAL,FLPR,AIBR,AB plapaaaapp,AB prapaaapad,AB praapappa,ABplapaaaapp,ABprapaaapa,ABpraapappa,1.0,2.0,1.0,4.0,1.609438,exc,True
FFL_0022,ADAL,FLPR,AVAR,AB plapaaaapp,AB prapaaapad,AB alaappapa,ABplapaaaapp,ABprapaaapa,ABalaappapa,1.0,2.0,5.0,8.0,2.197225,exc,True
FFL_0023,ADAL,FLPR,AVBL,AB plapaaaapp,AB prapaaapad,AB plpaapaap,ABplapaaaapp,ABprapaaapa,ABplpaapaap,1.0,4.0,5.0,10.0,2.397895,exc,True
FFL_0024,ADAL,FLPR,AVBR,AB plapaaaapp,AB prapaaapad,AB prpaapaap,ABplapaaaapp,ABprapaaapa,ABprpaapaap,1.0,7.0,1.0,9.0,2.302585,exc,True
FFL_0025,ADAL,FLPR,AVDL,AB plapaaaapp,AB prapaaapad,AB alaaapalr,ABplapaaaapp,ABprapaaapa,ABalaaapalr,1.0,1.0,10.0,12.0,2.564949,exc,True
FFL_0026,ADAL,FLPR,AVEL,AB plapaaaapp,AB prapaaapad,AB alpppaaaa,ABplapaaaapp,ABprapaaapa,ABalpppaaaa,1.0,1.0,4.0,6.0,1.94591,exc,True
FFL_0027,ADAL,FLPR,AVJR,AB plapaaaapp,AB prapaaapad,AB alapppppa,ABplapaaaapp,ABprapaaapa,ABalapppppa,1.0,5.0,1.0,7.0,2.079442,exc,True
FFL_0028,ADAL,RICL,AVAR,AB plapaaaapp,AB plppaaaapp,AB alaappapa,ABplapaaaapp,ABplppaaaapp,ABalaappapa,1.0,2.0,6.0,9.0,2.302585,exc,True
FFL_0029,ADAL,RICL,RIML,AB plapaaaapp,AB plppaaaapp,AB plppaapap,ABplapaaaapp,ABplppaaaapp,ABplppaapap,1.0,3.0,1.0,5.0,1.791759,exc,True
FFL_0030,ADAL,RICL,SMDVR,AB plapaaaapp,AB plppaaaapp,AB arappppaa,ABplapaaaapp,ABplppaaaapp,ABarappppaa,1.0,2.0,1.0,4.0,1.609438,exc,True
FFL_0031,ADAL,RICR,AVAR,AB plapaaaapp,AB prppaaaapp,AB alaappapa,ABplapaaaapp,ABprppaaaapp,ABalaappapa,1.0,2.0,5.0,8.0,2.197225,exc,True
FFL_0032,ADAL,RICR,SMDVR,AB plapaaaapp,AB prppaaaapp,AB arappppaa,ABplapaaaapp,ABprppaaaapp,ABarappppaa,1.0,2.0,1.0,4.0,1.609438,exc,True
FFL_0033,ADAL,RIML,AVBL,AB plapaaaapp,AB plppaapap,AB plpaapaap,ABplapaaaapp,ABplppaapap,ABplpaapaap,3.0,4.0,2.0,9.0,2.302585,exc,True
FFL_0034,ADAL,RIML,AVBR,AB plapaaaapp,AB plppaapap,AB prpaapaap,ABplapaaaapp,ABplppaapap,ABprpaapaap,3.0,7.0,3.0,13.0,2.639057,exc,True
FFL_0035,ADAR,AIBL,AVAL,AB prapaaaapp,AB plaapappa,AB alppaaapa,ABprapaaaapp,ABplaapappa,ABalppaaapa,1.0,1.0,2.0,4.0,1.609438,exc,True
FFL_0036,ADAR,AIBL,AVBL,AB prapaaaapp,AB plaapappa,AB plpaapaap,ABprapaaaapp,ABplaapappa,ABplpaapaap,1.0,1.0,5.0,7.0,2.079442,exc,True
FFL_0037,ADAR,AIBL,RIMR,AB prapaaaapp,AB plaapappa,AB prppaapap,ABprapaaaapp,ABplaapappa,ABprppaapap,1.0,5.0,13.0,19.0,2.995732,exc,True
FFL_0038,ADAR,AIBR,AVBR,AB prapaaaapp,AB praapappa,AB prpaapaap,ABprapaaaapp,ABpraapappa,ABprpaapaap,1.0,5.0,3.0,9.0,2.302585,exc,True
FFL_0039,ADAR,AIBR,AVEL,AB prapaaaapp,AB praapappa,AB alpppaaaa,ABprapaaaapp,ABpraapappa,ABalpppaaaa,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0040,ADAR,AIBR,RIMR,AB prapaaaapp,AB praapappa,AB prppaapap,ABprapaaaapp,ABpraapappa,ABprppaapap,1.0,5.0,1.0,7.0,2.079442,exc,True
FFL_0041,ADAR,AIBR,SMDVL,AB prapaaaapp,AB praapappa,AB alppappaa,ABprapaaaapp,ABpraapappa,ABalppappaa,1.0,2.0,1.0,4.0,1.609438,exc,True
FFL_0042,ADAR,AVAL,AVBR,AB prapaaaapp,AB alppaaapa,AB prpaapaap,ABprapaaaapp,ABalppaaapa,ABprpaapaap,1.0,5.0,1.0,7.0,2.079442,exc,True
FFL_0043,ADAR,AVBL,AVAL,AB prapaaaapp,AB plpaapaap,AB alppaaapa,ABprapaaaapp,ABplpaapaap,ABalppaaapa,1.0,1.0,7.0,9.0,2.302585,exc,True
FFL_0044,ADAR,AVBL,AVBR,AB prapaaaapp,AB plpaapaap,AB prpaapaap,ABprapaaaapp,ABplpaapaap,ABprpaapaap,1.0,5.0,1.0,7.0,2.079442,exc,True
FFL_0045,ADAR,AVBL,AVEL,AB prapaaaapp,AB plpaapaap,AB alpppaaaa,ABprapaaaapp,ABplpaapaap,ABalpppaaaa,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0046,ADAR,AVBR,AVAL,AB prapaaaapp,AB prpaapaap,AB alppaaapa,ABprapaaaapp,ABprpaapaap,ABalppaaapa,5.0,1.0,6.0,12.0,2.564949,exc,True
FFL_0047,ADAR,AVBR,AVBL,AB prapaaaapp,AB prpaapaap,AB plpaapaap,ABprapaaaapp,ABprpaapaap,ABplpaapaap,5.0,1.0,1.0,7.0,2.079442,exc,True
FFL_0048,ADAR,AVEL,AVAL,AB prapaaaapp,AB alpppaaaa,AB alppaaapa,ABprapaaaapp,ABalpppaaaa,ABalppaaapa,1.0,1.0,12.0,14.0,2.70805,exc,True
FFL_0049,ADAR,AVJL,AVBL,AB prapaaaapp,AB alapapppa,AB plpaapaap,ABprapaaaapp,ABalapapppa,ABplpaapaap,3.0,1.0,1.0,5.0,1.791759,exc,True
FFL_0050,ADAR,AVJL,AVBR,AB prapaaaapp,AB alapapppa,AB prpaapaap,ABprapaaaapp,ABalapapppa,ABprpaapaap,3.0,5.0,4.0,12.0,2.564949,exc,True
FFL_0051,ADAR,AVJL,AVEL,AB prapaaaapp,AB alapapppa,AB alpppaaaa,ABprapaaaapp,ABalapapppa,ABalpppaaaa,3.0,1.0,1.0,5.0,1.791759,exc,True
FFL_0052,ADAR,RICL,AVAL,AB prapaaaapp,AB plppaaaapp,AB alppaaapa,ABprapaaaapp,ABplppaaaapp,ABalppaaapa,1.0,1.0,5.0,7.0,2.079442,exc,True
FFL_0053,ADAR,RICL,RIMR,AB prapaaaapp,AB plppaaaapp,AB prppaapap,ABprapaaaapp,ABplppaaaapp,ABprppaapap,1.0,5.0,3.0,9.0,2.302585,exc,True
FFL_0054,ADAR,RICL,RIVR,AB prapaaaapp,AB plppaaaapp,AB prpaapaaa,ABprapaaaapp,ABplppaaaapp,ABprpaapaaa,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0055,ADAR,RIMR,AIBL,AB prapaaaapp,AB prppaapap,AB plaapappa,ABprapaaaapp,ABprppaapap,ABplaapappa,5.0,1.0,4.0,10.0,2.397895,exc,True
FFL_0056,ADAR,RIMR,AVAL,AB prapaaaapp,AB prppaapap,AB alppaaapa,ABprapaaaapp,ABprppaapap,ABalppaaapa,5.0,1.0,2.0,8.0,2.197225,exc,True
FFL_0057,ADAR,RIMR,AVBL,AB prapaaaapp,AB prppaapap,AB plpaapaap,ABprapaaaapp,ABprppaapap,ABplpaapaap,5.0,1.0,2.0,8.0,2.197225,exc,True
FFL_0058,ADAR,RIMR,AVBR,AB prapaaaapp,AB prppaapap,AB prpaapaap,ABprapaaaapp,ABprppaapap,ABprpaapaap,5.0,5.0,5.0,15.0,2.772589,exc,True
FFL_0059,ADAR,RIMR,AVJL,AB prapaaaapp,AB prppaapap,AB alapapppa,ABprapaaaapp,ABprppaapap,ABalapapppa,5.0,3.0,1.0,9.0,2.302585,exc,True
FFL_0060,ADEL,ADAL,AVAR,AB plapaaaapa,AB plapaaaapp,AB alaappapa,ABplapaaaapa,ABplapaaaapp,ABalaappapa,1.0,3.0,2.0,6.0,1.94591,exc,True
FFL_0061,ADEL,ADAL,AVEL,AB plapaaaapa,AB plapaaaapp,AB alpppaaaa,ABplapaaaapa,ABplapaaaapp,ABalpppaaaa,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0062,ADEL,ADER,AVAL,AB plapaaaapa,AB prapaaaapa,AB alppaaapa,ABplapaaaapa,ABprapaaaapa,ABalppaaapa,1.0,2.0,5.0,8.0,2.197225,exc,True
FFL_0063,ADEL,ADER,AVAR,AB plapaaaapa,AB prapaaaapa,AB alaappapa,ABplapaaaapa,ABprapaaaapa,ABalaappapa,1.0,3.0,1.0,5.0,1.791759,exc,True
FFL_0064,ADEL,ADER,FLPL,AB plapaaaapa,AB prapaaaapa,AB plapaaapad,ABplapaaaapa,ABprapaaaapa,ABplapaaapa,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0065,ADEL,ADER,RIGL,AB plapaaaapa,AB prapaaaapa,AB plppappaa,ABplapaaaapa,ABprapaaaapa,ABplppappaa,1.0,5.0,7.0,13.0,2.639057,exc,True
FFL_0066,ADEL,ADER,RIGR,AB plapaaaapa,AB prapaaaapa,AB prppappaa,ABplapaaaapa,ABprapaaaapa,ABprppappaa,1.0,3.0,4.0,8.0,2.197225,exc,True
FFL_0067,ADEL,ADER,RIH,AB plapaaaapa,AB prapaaaapa,AB prpappaaa,ABplapaaaapa,ABprapaaaapa,ABprpappaaa,1.0,2.0,1.0,4.0,1.609438,exc,True
FFL_0068,ADEL,AVAL,AVAR,AB plapaaaapa,AB alppaaapa,AB alaappapa,ABplapaaaapa,ABalppaaapa,ABalaappapa,2.0,3.0,2.0,7.0,2.079442,exc,True
FFL_0069,ADEL,AVAR,ADER,AB plapaaaapa,AB alaappapa,AB prapaaaapa,ABplapaaaapa,ABalaappapa,ABprapaaaapa,3.0,1.0,1.0,5.0,1.791759,exc,True
FFL_0070,ADEL,AVAR,AVAL,AB plapaaaapa,AB alaappapa,AB alppaaapa,ABplapaaaapa,ABalaappapa,ABalppaaapa,3.0,2.0,1.0,6.0,1.94591,exc,True
FFL_0071,ADEL,AVAR,AVEL,AB plapaaaapa,AB alaappapa,AB alpppaaaa,ABplapaaaapa,ABalaappapa,ABalpppaaaa,3.0,1.0,2.0,6.0,1.94591,exc,True
FFL_0072,ADEL,AVAR,RIGL,AB plapaaaapa,AB alaappapa,AB plppappaa,ABplapaaaapa,ABalaappapa,ABplppappaa,3.0,5.0,1.0,9.0,2.302585,exc,True
FFL_0073,ADEL,AVEL,AVAL,AB plapaaaapa,AB alpppaaaa,AB alppaaapa,ABplapaaaapa,ABalpppaaaa,ABalppaaapa,1.0,2.0,12.0,15.0,2.772589,exc,True
FFL_0074,ADEL,AVEL,AVAR,AB plapaaaapa,AB alpppaaaa,AB alaappapa,ABplapaaaapa,ABalpppaaaa,ABalaappapa,1.0,3.0,7.0,11.0,2.484907,exc,True
FFL_0075,ADEL,AVL,AVEL,AB plapaaaapa,AB prpappaap,AB alpppaaaa,ABplapaaaapa,ABprpappaap,ABalpppaaaa,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0076,ADEL,CEPDL,OLLL,AB plapaaaapa,AB plaaaaappa,AB alppppapaa,ABplapaaaapa,ABplaaaaappa,ABalppppapaa,1.0,1.0,2.0,4.0,1.609438,exc,True
FFL_0077,ADEL,CEPDL,RMGL,AB plapaaaapa,AB plaaaaappa,AB plapaaapp,ABplapaaaapa,ABplaaaaappa,ABplapaaapp,1.0,1.0,4.0,6.0,1.94591,exc,True
FFL_0078,ADEL,CEPDL,SIADR,AB plapaaaapa,AB plaaaaappa,AB prpapaapa,ABplapaaaapa,ABplaaaaappa,ABprpapaapa,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0079,ADEL,CEPDL,SMBDR,AB plapaaaapa,AB plaaaaappa,AB arappapapp,ABplapaaaapa,ABplaaaaappa,ABarappapapp,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0080,ADEL,CEPDL,URBL,AB plapaaaapa,AB plaaaaappa,AB plaapaapa,ABplapaaaapa,ABplaaaaappa,ABplaapaapa,1.0,1.0,4.0,6.0,1.94591,exc,True
FFL_0081,ADEL,FLPL,ADER,AB plapaaaapa,AB plapaaapad,AB prapaaaapa,ABplapaaaapa,ABplapaaapa,ABprapaaaapa,1.0,1.0,2.0,4.0,1.609438,exc,True
FFL_0082,ADEL,FLPL,AVAL,AB plapaaaapa,AB plapaaapad,AB alppaaapa,ABplapaaaapa,ABplapaaapa,ABalppaaapa,1.0,2.0,14.0,17.0,2.890372,exc,True
FFL_0083,ADEL,FLPL,AVAR,AB plapaaaapa,AB plapaaapad,AB alaappapa,ABplapaaaapa,ABplapaaapa,ABalaappapa,1.0,3.0,17.0,21.0,3.091042,exc,True
FFL_0084,ADEL,IL1L,RMDL,AB plapaaaapa,AB alapaappaa,AB alpppapad,ABplapaaaapa,ABalapaappaa,ABalpppapa,1.0,2.0,1.0,4.0,1.609438,exc,True
FFL_0085,ADEL,IL2L,AVEL,AB plapaaaapa,AB alapaappp,AB alpppaaaa,ABplapaaaapa,ABalapaappp,ABalpppaaaa,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0086,ADEL,IL2L,IL1L,AB plapaaaapa,AB alapaappp,AB alapaappaa,ABplapaaaapa,ABalapaappp,ABalapaappaa,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0087,ADEL,IL2L,RIH,AB plapaaaapa,AB alapaappp,AB prpappaaa,ABplapaaaapa,ABalapaappp,ABprpappaaa,1.0,2.0,7.0,10.0,2.397895,exc,True
FFL_0088,ADEL,IL2L,RMDL,AB plapaaaapa,AB alapaappp,AB alpppapad,ABplapaaaapa,ABalapaappp,ABalpppapa,1.0,2.0,3.0,6.0,1.94591,exc,True
FFL_0089,ADEL,OLLL,CEPDL,AB plapaaaapa,AB alppppapaa,AB plaaaaappa,ABplapaaaapa,ABalppppapaa,ABplaaaaappa,1.0,1.0,3.0,5.0,1.791759,exc,True
FFL_0090,ADEL,OLLL,RMDL,AB plapaaaapa,AB alppppapaa,AB alpppapad,ABplapaaaapa,ABalppppapaa,ABalpppapa,1.0,2.0,2.0,5.0,1.791759,exc,True
FFL_0091,ADEL,RIAL,RIVL,AB plapaaaapa,AB alapaapaa,AB plpaapaaa,ABplapaaaapa,ABalapaapaa,ABplpaapaaa,1.0,1.0,2.0,4.0,1.609438,exc,True
FFL_0092,ADEL,RIAL,RIVR,AB plapaaaapa,AB alapaapaa,AB prpaapaaa,ABplapaaaapa,ABalapaapaa,ABprpaapaaa,1.0,1.0,4.0,6.0,1.94591,exc,True
FFL_0093,ADEL,RIAL,RMDL,AB plapaaaapa,AB alapaapaa,AB alpppapad,ABplapaaaapa,ABalapaapaa,ABalpppapa,1.0,2.0,6.0,9.0,2.302585,exc,True
FFL_0094,ADEL,RIGL,AVEL,AB plapaaaapa,AB plppappaa,AB alpppaaaa,ABplapaaaapa,ABplppappaa,ABalpppaaaa,5.0,1.0,1.0,7.0,2.079442,exc,True
FFL_0095,ADEL,RIGR,RMHL,AB plapaaaapa,AB prppappaa,G1.l,ABplapaaaapa,ABprppappaa,G1.l,3.0,1.0,4.0,8.0,2.197225,exc,True
FFL_0096,ADEL,RIH,CEPDL,AB plapaaaapa,AB prpappaaa,AB plaaaaappa,ABplapaaaapa,ABprpappaaa,ABplaaaaappa,2.0,1.0,1.0,4.0,1.609438,exc,True
FFL_0097,ADEL,RIH,IL2L,AB plapaaaapa,AB prpappaaa,AB alapaappp,ABplapaaaapa,ABprpappaaa,ABalapaappp,2.0,1.0,2.0,5.0,1.791759,exc,True
FFL_0098,ADEL,RIH,RIAL,AB plapaaaapa,AB prpappaaa,AB alapaapaa,ABplapaaaapa,ABprpappaaa,ABalapaapaa,2.0,1.0,11.0,14.0,2.70805,exc,True
FFL_0099,ADEL,RIVL,RIAL,AB plapaaaapa,AB plpaapaaa,AB alapaapaa,ABplapaaaapa,ABplpaapaaa,ABalapaapaa,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0100,ADEL,RIVL,RMDL,AB plapaaaapa,AB plpaapaaa,AB alpppapad,ABplapaaaapa,ABplpaapaaa,ABalpppapa,1.0,2.0,2.0,5.0,1.791759,exc,True
FFL_0101,ADEL,RIVR,RIAL,AB plapaaaapa,AB prpaapaaa,AB alapaapaa,ABplapaaaapa,ABprpaapaaa,ABalapaapaa,1.0,1.0,2.0,4.0,1.609438,exc,True
FFL_0102,ADEL,RMDL,RIAL,AB plapaaaapa,AB alpppapad,AB alapaapaa,ABplapaaaapa,ABalpppapa,ABalapaapaa,2.0,1.0,4.0,7.0,2.079442,exc,True
FFL_0103,ADEL,RMGL,ADAL,AB plapaaaapa,AB plapaaapp,AB plapaaaapp,ABplapaaaapa,ABplapaaapp,ABplapaaaapp,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0104,ADEL,RMGL,AVAL,AB plapaaaapa,AB plapaaapp,AB alppaaapa,ABplapaaaapa,ABplapaaapp,ABalppaaapa,1.0,2.0,1.0,4.0,1.609438,exc,True
FFL_0105,ADEL,RMGL,AVEL,AB plapaaaapa,AB plapaaapp,AB alpppaaaa,ABplapaaaapa,ABplapaaapp,ABalpppaaaa,1.0,1.0,2.0,4.0,1.609438,exc,True
FFL_0106,ADEL,RMGL,CEPDL,AB plapaaaapa,AB plapaaapp,AB plaaaaappa,ABplapaaaapa,ABplapaaapp,ABplaaaaappa,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0107,ADEL,RMGL,RMDL,AB plapaaaapa,AB plapaaapp,AB alpppapad,ABplapaaaapa,ABplapaaapp,ABalpppapa,1.0,2.0,1.0,4.0,1.609438,exc,True
FFL_0108,ADEL,SMBDR,AVAL,AB plapaaaapa,AB arappapapp,AB alppaaapa,ABplapaaaapa,ABarappapapp,ABalppaaapa,1.0,2.0,1.0,4.0,1.609438,exc,True
FFL_0109,ADEL,URBL,CEPDL,AB plapaaaapa,AB plaapaapa,AB plaaaaappa,ABplapaaaapa,ABplaapaapa,ABplaaaaappa,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0110,ADEL,URBL,IL1L,AB plapaaaapa,AB plaapaapa,AB alapaappaa,ABplapaaaapa,ABplaapaapa,ABalapaappaa,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0111,ADEL,URBL,SMBDR,AB plapaaaapa,AB plaapaapa,AB arappapapp,ABplapaaaapa,ABplaapaapa,ABarappapapp,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0112,ADER,ADAR,AVAL,AB prapaaaapa,AB prapaaaapp,AB alppaaapa,ABprapaaaapa,ABprapaaaapp,ABalppaaapa,1.0,5.0,1.0,7.0,2.079442,exc,True
FFL_0113,ADER,ADEL,AVAL,AB prapaaaapa,AB plapaaaapa,AB alppaaapa,ABprapaaaapa,ABplapaaaapa,ABalppaaapa,2.0,5.0,2.0,9.0,2.302585,exc,True
FFL_0114,ADER,ADEL,AVAR,AB prapaaaapa,AB plapaaaapa,AB alaappapa,ABprapaaaapa,ABplapaaaapa,ABalaappapa,2.0,1.0,3.0,6.0,1.94591,exc,True
FFL_0115,ADER,ADEL,FLPL,AB prapaaaapa,AB plapaaaapa,AB plapaaapad,ABprapaaaapa,ABplapaaaapa,ABplapaaapa,2.0,1.0,1.0,4.0,1.609438,exc,True
FFL_0116,ADER,ADEL,RIGL,AB prapaaaapa,AB plapaaaapa,AB plppappaa,ABprapaaaapa,ABplapaaaapa,ABplppappaa,2.0,7.0,5.0,14.0,2.70805,exc,True
FFL_0117,ADER,ADEL,RIGR,AB prapaaaapa,AB plapaaaapa,AB prppappaa,ABprapaaaapa,ABplapaaaapa,ABprppappaa,2.0,4.0,3.0,9.0,2.302585,exc,True
FFL_0118,ADER,ADEL,RIH,AB prapaaaapa,AB plapaaaapa,AB prpappaaa,ABprapaaaapa,ABplapaaaapa,ABprpappaaa,2.0,1.0,2.0,5.0,1.791759,exc,True
FFL_0119,ADER,ALA,ADEL,AB prapaaaapa,AB alapppaaa,AB plapaaaapa,ABprapaaaapa,ABalapppaaa,ABplapaaaapa,1.0,2.0,1.0,4.0,1.609438,exc,True
FFL_0120,ADER,ALA,AVAL,AB prapaaaapa,AB alapppaaa,AB alppaaapa,ABprapaaaapa,ABalapppaaa,ABalppaaapa,1.0,5.0,1.0,7.0,2.079442,exc,True
FFL_0121,ADER,ALA,AVER,AB prapaaaapa,AB alapppaaa,AB praaaaaaa,ABprapaaaapa,ABalapppaaa,ABpraaaaaaa,1.0,1.0,1.0,3.0,1.386294,exc,True
FFL_0122,ADER,ALA,RMDR,AB prapaaaapa,AB alapppaaa,AB praaaapad,ABprapaaaapa,ABalapppaaa,ABpraaaapa,1.0,2.0,1.0,4.0,1.609438,exc,True
FFL_0123,ADER,AVAL,AVAR,AB prapaaaapa,AB alppaaapa,AB alaappapa,ABprapaaaapa,ABalppaaapa,ABalaappapa,5.0,1.0,2.0,8.0,2.197225,exc,True
FFL_0124,ADER,AVAR,AVAL,AB prapaaaapa,AB alaappapa,AB alppaaapa,ABprapaaaapa,ABalaappapa,ABalppaaapa,1.0,5.0,1.0,7.0,2.079442,exc,True
FFL_0125,ADER,AVAR,AVDR,AB prapaaaapa,AB alaappapa,AB alaaapprl,ABprapaaaapa,ABalaappapa,ABalaaapprl,1.0,2.0,2.0,5.0,1.791759,exc,True
FFL_0126,ADER,AVAR,AVER,AB prapaaaapa,AB alaappapa,AB praaaaaaa,ABprapaaaapa,ABalaappapa,ABpraaaaaaa,1.0,1.0,2.0,4.0,1.609438,exc,True
FFL_0127,ADER,AVAR,RIGL,AB prapaaaapa,AB alaappapa,AB plppappaa,ABprapaaaapa,ABalaappapa,ABplppappaa,1.0,7.0,1.0,9.0,2.302585,exc,True
FFL_0128,ADER,AVDR,AVAL,AB prapaaaapa,AB alaaapprl,AB alppaaapa,ABprapaaaapa,ABalaaapprl,ABalppaaapa,2.0,5.0,16.0,23.0,3.178054,exc,True
FFL_0129,ADER,AVDR,AVAR,AB prapaaaapa,AB alaaapprl,AB alaappapa,ABprapaaaapa,ABalaaapprl,ABalaappapa,2.0,1.0,15.0,18.0,2.944439,exc,True
FFL_0130,ADER,AVER,AVAL,AB prapaaaapa,AB praaaaaaa,AB alppaaapa,ABprapaaaapa,ABpraaaaaaa,ABalppaaapa,1.0,5.0,7.0,13.0,2.639057,exc,True
FFL_0131,ADER,AVER,AVAR,AB prapaaaapa,AB praaaaaaa,AB alaappapa,ABprapaaaapa,ABpraaaaaaa,ABalaappapa,1.0,1.0,16.0,18.0,2.944439,exc,True
FFL_0132,ADER,AVER,AVDR,AB prapaaaapa,AB praaaaaaa,AB alaaapprl,ABprapaaaapa,ABpraaaaaaa,ABalaaapprl,1.0,2.0,1.0,4.0,1.609438,exc,True
FFL_0133,ADER,AVJR,AVAL,AB prapaaaapa,AB alapppppa,AB alppaaapa,ABprapaaaapa,ABalapppppa,ABalppaaapa,1.0,5.0,1.0,7.0,2.079442,exc,True
