cell,fate,fate_id,method,purity,n_leaves,n_embryos
ABarapaaappaa,pharynx,3,ancestor,1.0,1,1
ABarapaaappap,pharynx,3,ancestor,1.0,1,1
ABarapaaappp,pharynx,3,ancestor,1.0,1,1
ABarapaap,pharynx,3,consensus,1.0,3,257
ABarapaapa,pharynx,3,consensus,1.0,1,233
ABarapaapaa,pharynx,3,exact,1.0,1,1
ABarapaapaaa,pharynx,3,ancestor,1.0,1,1
ABarapaapaap,pharynx,3,ancestor,1.0,1,1
ABarapaapaapa,pharynx,3,ancestor,1.0,1,1
ABarapaapaapp,pharynx,3,ancestor,1.0,1,1
ABarapaapap,pharynx,3,ancestor,1.0,1,1
ABarapaapp,pharynx,3,consensus,1.0,2,233
ABarapaappa,pharynx,3,exact,1.0,1,13
ABarapaappp,pharynx,3,exact,1.0,1,13
ABarapap,pharynx,3,consensus,1.0,6,258
ABarapapa,pharynx,3,consensus,1.0,3,257
