cell,fate,fate_id,method,purity,n_leaves,n_embryos
ABalpaapappap,pharynx,3,ancestor,1.0,1,1
ABalpaapappapa,pharynx,3,ancestor,1.0,1,1
ABalpaapappapaa,pharynx,3,ancestor,1.0,1,1
ABalpaapappapap,pharynx,3,ancestor,1.0,1,1
ABalpaapappapp,pharynx,3,ancestor,1.0,1,1
ABalpaapappp,pharynx,3,ancestor,1.0,1,1
ABalpaapp,mixed,11,consensus,0.5,4,257
ABalpaappa,pharynx,3,consensus,1.0,2,233
ABalpaappaa,pharynx,3,exact,1.0,1,2
ABalpaappaaa,pharynx,3,ancestor,1.0,1,1
ABalpaappaap,pharynx,3,ancestor,1.0,1,1
ABalpaappaapa,pharynx,3,ancestor,1.0,1,1
ABalpaappaapp,pharynx,3,ancestor,1.0,1,1
ABalpaappap,pharynx,3,exact,1.0,1,2
ABalpaappapa,pharynx,3,ancestor,1.0,1,1
ABalpaappapaa,pharynx,3,ancestor,1.0,1,1
ABalpaappapap,pharynx,3,ancestor,1.0,1,1
ABalpaappapp,pharynx,3,ancestor,1.0,1,1
ABalpaappappa,pharynx,3,ancestor,1.0,1,1
ABalpaappappp,pharynx,3,ancestor,1.0,1,1
ABalpaappp,hypodermis,2,consensus,1.0,2,233
ABalpaapppa,hypodermis,2,exact,1.0,1,2
ABalpaapppp,hypodermis,2,exact,1.0,1,2
ABalpaappppa,hypodermis,2,ancestor,1.0,1,1
ABalpaappppaa,hypodermis,2,ancestor,1.0,1,1
ABalpaappppap,hypodermis,2,ancestor,1.0,1,1
ABalpaappppapa,hypodermis,2,ancestor,1.0,1,1
ABalpaappppapp,hypodermis,2,ancestor,1.0,1,1
ABalpaappppappa,hypodermis,2,ancestor,1.0,1,1
ABalpaappppappp,hypodermis,2,ancestor,1.0,1,1
ABalpaappppapppa,hypodermis,2,ancestor,1.0,1,1
ABalpaappppapppp,hypodermis,2,ancestor,1.0,1,1
ABalpaappppp,hypodermis,2,ancestor,1.0,1,1
ABalpap,pharynx,3,consensus,0.667,12,258
ABalpapa,mixed,11,consensus,0.5,6,258
ABalpapaa,pharynx,3,consensus,0.667,3,257
ABalpapaaa,mixed,11,consensus,0.5,2,232
ABalpapaaaa,pharynx,3,exact,1.0,1,2
ABalpapaaap,hypodermis,2,exact,1.0,1,2
ABalpapaap,pharynx,3,consensus,1.0,1,232
ABalpapaapa,pharynx,3,exact,1.0,1,1
ABalpapaapaa,pharynx,3,ancestor,1.0,1,1
ABalpapaapap,pharynx,3,ancestor,1.0,1,1
ABalpapaapp,pharynx,3,ancestor,1.0,1,1
ABalpapap,neuron,0,consensus,1.0,3,257
ABalpapapa,neuron,0,consensus,1.0,2,232
ABalpapapaa,neuron,0,exact,1.0,1,8
ABalpapapaaa,neuron,0,ancestor,1.0,1,1
ABalpapapaap,neuron,0,ancestor,1.0,1,1
ABalpapapap,neuron,0,consensus,1.0,1,8
ABalpapapp,neuron,0,consensus,1.0,1,232
ABalpapappa,neuron,0,ancestor,1.0,1,3
ABalpapappaa,neuron,0,ancestor,1.0,1,1
ABalpapappap,neuron,0,ancestor,1.0,1,1
ABalpapappp,neuron,0,exact,1.0,1,3
ABalpapapppa,neuron,0,ancestor,1.0,1,1
ABalpapapppp,neuron,0,ancestor,1.0,1,1
ABalpapappppa,neuron,0,ancestor,1.0,1,1
ABalpapappppp,neuron,0,ancestor,1.0,1,1
ABalpapapppppa,neuron,0,ancestor,1.0,1,1
ABalpapapppppp,neuron,0,ancestor,1.0,1,1
ABalpapappppppa,neuron,0,ancestor,1.0,1,1
ABalpapappppppaa,neuron,0,ancestor,1.0,1,1
ABalpapappppppap,neuron,0,ancestor,1.0,1,1
ABalpapappppppp,neuron,0,ancestor,1.0,1,1
ABalpapp,pharynx,3,consensus,1.0,6,258
ABalpappa,pharynx,3,consensus,1.0,3,257
ABalpappaa,pharynx,3,consensus,1.0,1,236
ABalpappaaa,pharynx,3,ancestor,1.0,1,5
ABalpappaaaa,pharynx,3,ancestor,1.0,1,2
ABalpappaaap,pharynx,3,ancestor,1.0,1,2
ABalpappaaapa,pharynx,3,ancestor,1.0,1,1
ABalpappaaapaa,pharynx,3,ancestor,1.0,1,1
ABalpappaaapap,pharynx,3,ancestor,1.0,1,1
ABalpappaaapp,pharynx,3,ancestor,1.0,1,1
ABalpappaap,pharynx,3,consensus,1.0,1,5
ABalpappap,pharynx,3,consensus,1.0,2,236
ABalpappapa,pharynx,3,exact,1.0,1,21
ABalpappapaa,pharynx,3,ancestor,1.0,1,1
ABalpappapap,pharynx,3,ancestor,1.0,1,1
ABalpappapp,pharynx,3,exact,1.0,1,21
ABalpappp,pharynx,3,consensus,1.0,3,257
ABalpapppa,pharynx,3,consensus,1.0,1,236
ABalpapppaa,pharynx,3,exact,1.0,1,2
ABalpapppaaa,pharynx,3,ancestor,1.0,1,1
ABalpapppaap,pharynx,3,ancestor,1.0,1,1
ABalpapppaapa,pharynx,3,ancestor,1.0,1,1
ABalpapppaapp,pharynx,3,ancestor,1.0,1,1
ABalpapppap,pharynx,3,ancestor,1.0,1,2
ABalpapppapa,pharynx,3,ancestor,1.0,1,2
ABalpapppapp,pharynx,3,ancestor,1.0,1,2
ABalpapppp,pharynx,3,consensus,1.0,2,236
ABalpappppa,pharynx,3,exact,1.0,1,57
ABalpappppp,pharynx,3,exact,1.0,1,57
ABalpp,neuron,0,consensus,0.667,24,258
ABalppa,neuron,0,consensus,0.636,11,258
ABalppaa,glia,5,consensus,0.667,3,258
ABalppaaa,mixed,11,consensus,0.5,2,257
ABalppaaaa,mixed,11,ancestor,0.5,2,231
ABalppaaap,mixed,11,consensus,0.5,2,231
ABalppaaapa,neuron,0,exact,1.0,1,1
ABalppaaapp,glia,5,exact,1.0,1,1
ABalppaap,glia,5,consensus,1.0,1,257
ABalppaapa,glia,5,ancestor,1.0,1,232
ABalppaapaa,glia,5,ancestor,1.0,1,2
ABalppaapap,glia,5,ancestor,1.0,1,2
ABalppaapapa,glia,5,ancestor,1.0,1,1
ABalppaapapaa,glia,5,ancestor,1.0,1,1
ABalppaapapap,glia,5,ancestor,1.0,1,1
ABalppaapapp,glia,5,ancestor,1.0,1,1
ABalppaapp,glia,5,consensus,1.0,1,232
ABalppaappa,glia,5,ancestor,1.0,1,2
ABalppaappp,glia,5,exact,1.0,1,2
ABalppap,neuron,0,consensus,0.75,8,258
ABalppapa,mixed,11,consensus,0.5,4,257
