x,y,z,min_size,max_size,cell,mother
-44.289585725154076,25.3109800946569,-0.5606462059980962,26.0,43.0,ABalappppp,ABalapppp
-94.88353789757844,-27.283584789738768,0.6474902485621028,39.0,79.0,ABalp,ABal
-110.04913787541348,-27.74952001263518,0.7491110614621113,35.0,73.0,ABalpa,ABalp
-123.35308678676896,-18.437695463463943,-0.04740590998275937,41.0,61.0,ABalpaa,ABalpa
-127.02682686447426,-28.010706821819117,-0.0801778319800453,29.0,54.0,ABalpaaa,ABalpaa
-111.9993747983765,-6.5616752712143835,0.33315300423040783,26.0,46.0,ABalpaaaa,ABalpaaa
-93.95127998793323,-9.65679041650914,0.809423130601567,24.0,38.0,ABalpaaaaa,ABalpaaaa
-73.98181433907826,-11.691141561547308,0.7040796191511857,26.0,38.0,ABalpaaaap,ABalpaaaa
-95.72610532109407,-15.433702048026802,0.5001965165505902,26.0,46.0,ABalpaaap,ABalpaaa
-67.85043627559895,-9.874921622386431,0.6960787008248353,26.0,39.0,ABalpaaapa,ABalpaaap
-50.030887403418504,-11.307252449454099,0.6599884752609254,26.0,38.0,ABalpaaapp,ABalpaaap
-115.74199851452963,-23.29664259147582,-0.361314782884438,30.0,55.0,ABalpaap,ABalpaa
-122.36603825765333,-19.571548686229242,-0.13612394318978163,24.0,50.0,ABalpaapa,ABalpaap
-106.28953762609753,-16.80700001981886,1.0305317398973364,26.0,43.0,ABalpaapaa,ABalpaapa
-89.86955122715696,-22.979679786453314,0.3730135753245174,26.0,45.0,ABalpaapap,ABalpaapa
-91.90306785454632,-25.186199817875153,-0.15577092323531527,30.0,49.0,ABalpaapp,ABalpaap
-87.30338207292806,-31.63191859242346,-0.07663816596901502,26.0,41.0,ABalpaappa,ABalpaapp
-64.5123372968087,-32.81400814466227,-0.14469786746155186,26.0,40.0,ABalpaappp,ABalpaapp
-93.89277459371897,-42.94203590255179,0.6122399526629174,37.0,65.0,ABalpap,ABalpa
-125.55731184602791,-45.32292023162629,0.5902266429344443,30.0,57.0,ABalpapa,ABalpap
-103.42620760046285,-28.54182595217642,0.27977717113855066,26.0,48.0,ABalpapaa,ABalpapa
-69.61163274503342,-35.524316849584864,-0.245372753898931,26.0,39.0,ABalpapaaa,ABalpapaa
-51.760701068014775,-31.365931756417158,-0.3599690271908564,24.0,40.0,ABalpapaap,ABalpapaa
-79.17374454627564,-30.440654135487364,0.4553518837822292,26.0,48.0,ABalpapap,ABalpapa
-43.75751879671656,-39.273626718459944,0.18374694551062407,26.0,40.0,ABalpapapa,ABalpapap
-21.64640768560545,-34.3754785703118,0.29177163686864804,26.0,40.0,ABalpapapp,ABalpapap
-88.86657886850294,-43.69845809936162,0.5608364418226973,35.0,57.0,ABalpapp,ABalpap
-76.04227456697959,-28.10575232232468,0.4476224151831951,28.0,49.0,ABalpappa,ABalpapp
-57.480975586840025,-29.569305730805624,0.5297963282266732,24.0,45.0,ABalpappaa,ABalpappa
-41.71043366360992,-24.048992034147847,0.5189168134761906,26.0,45.0,ABalpappap,ABalpappa
-50.785745910066986,-23.707265010690126,0.4903956387543849,26.0,49.0,ABalpappp,ABalpapp
-44.295173117704216,-26.870015607348837,-0.014481449551105072,26.0,45.0,ABalpapppa,ABalpappp
-20.416157573662762,-21.67417363843692,-0.16580528374799583,26.0,46.0,ABalpapppp,ABalpappp
-66.94688985590165,-14.805219470009781,-0.12712308045239198,35.0,73.0,ABalpp,ABalp
-83.70644072333802,-21.151952227067145,-0.48115046363561176,34.0,62.0,ABalppa,ABalpp
-117.45033282286391,-28.462884157717387,-0.16385368542334086,34.0,53.0,ABalppaa,ABalppa
-113.61455213269352,-27.364335735828504,0.006065659656603917,26.0,46.0,ABalppaaa,ABalppaa
-120.89161663234854,-29.65310138140741,-0.09199818595277841,24.0,36.0,ABalppaaaa,ABalppaaa
-110.46902249008912,-38.55686707178401,-0.24429944118290384,26.0,38.0,ABalppaaap,ABalppaaa
-98.44952094379117,-35.15164604213144,-0.2105901452032787,26.0,46.0,ABalppaap,ABalppaa
-99.82240889006192,-45.11576763986919,-0.726355433290942,24.0,38.0,ABalppaapa,ABalppaap
-86.1069617355904,-48.12796276182039,-0.5950546202828122,26.0,38.0,ABalppaapp,ABalppaap
-96.49892687145798,-29.350954045787272,0.25820473663508153,33.0,55.0,ABalppap,ABalppa
-83.62739020777352,-34.857088355616725,0.18980146037961118,28.0,48.0,ABalppapa,ABalppap
-78.70482729637858,-42.229518489193225,-0.39368750142430303,26.0,39.0,ABalppapaa,ABalppapa
-59.68177254133535,-47.39954730763703,-0.11501314983928933,26.0,40.0,ABalppapap,ABalppapa
-58.31974524484358,-31.311048614683795,0.028497768052807203,26.0,47.0,ABalppapp,ABalppap
-55.86107608266377,-44.370736631607606,-0.6902456004945006,26.0,41.0,ABalppappa,ABalppapp
-32.47024050314896,-47.5162891922545,-0.4247469482033959,26.0,42.0,ABalppappp,ABalppapp
-49.85258052511163,-30.33473782957106,0.17350003193037683,38.0,60.0,ABalppp,ABalpp
-81.7108874034185,-23.946801321634545,-0.23541002097967612,30.0,56.0,ABalpppa,ABalppp
-97.89933978437088,-25.53751560734884,-0.586314782884438,26.0,48.0,ABalpppaa,ABalpppa
-102.26369163622275,-43.154939849773086,-0.6431329647026198,26.0,38.0,ABalpppaaa,ABalpppaa
-94.44214281467393,-42.25931695415019,-0.5219208434904986,26.0,38.0,ABalpppaap,ABalpppaa
-80.17811429417482,-30.856045019113537,-0.9653932142569872,26.0,47.0,ABalpppap,ABalpppa
-79.96108220861332,-47.784674698257916,-0.9529814495511048,26.0,40.0,ABalpppapa,ABalpppap
-67.95540039043148,-50.35569742553064,-1.0163337222783775,26.0,41.0,ABalpppapp,ABalpppap
-50.99909161300202,-27.733832221768896,-0.3659124840338633,30.0,56.0,ABalpppp,ABalppp
-65.20535010885466,-22.71782534186211,-0.7636009185776532,30.0,49.0,ABalppppa,ABalpppp
-78.07663379186152,-34.611953809596045,-0.7821949326971721,26.0,41.0,ABalppppaa,ABalppppa
-62.59348772444578,-38.21869538262975,-0.7819140338207675,24.0,41.0,ABalppppap,ABalppppa
-35.13560132929111,-23.48430402044708,-1.1539260339339763,28.0,48.0,ABalppppp,ABalpppp
-49.36804416393293,-44.99524066817608,-0.8007308412785987,26.0,42.0,ABalpppppa,ABalppppp
-27.240247009329835,-41.60217077976263,-1.121577508664405,26.0,41.0,ABalpppppp,ABalppppp
-45.491441774420636,21.691962004591467,1.3526155653742682,38.0,88.0,ABar,ABa
