Parent,Daughter 1,Daughter 2,Birth Time
ABarppp,ABarpppp,ABarpppa,135.0
ABplapa,ABplapaa,ABplapap,135.0
ABprapa,ABprapaa,ABprapap,135.0
ABprpap,ABprpapa,ABprpapp,135.0
ABplaaa,ABplaaaa,ABplaaap,135.0
ABalppp,ABalpppp,ABalpppa,135.0
ABalpap,ABalpapp,ABalpapa,135.0
ABalpaa,ABalpaap,ABalpaaa,135.0
ABplpaa,ABplpaaa,ABplpaap,135.0
ABplpap,ABplpapa,ABplpapp,135.0
ABplapp,ABplappa,ABplappp,135.0
ABpraaa,ABpraaap,ABpraaaa,135.0
ABpraap,ABpraapa,ABpraapp,135.0
ABprapp,ABprappa,ABprappp,135.0
ABarpaa,ABarpaap,ABarpaaa,135.0
ABarpap,ABarpapp,ABarpapa,135.0
ABarapa,ABarapaa,ABarapap,135.0
ABaraaa,ABaraaaa,ABaraaap,135.0
ABaraap,ABaraapa,ABaraapp,135.0
ABarapp,ABarappp,ABarappa,135.0
ABarppa,ABarppap,ABarppaa,135.0
ABplaap,ABplaapp,ABplaapa,135.0
ABprppa,ABprppaa,ABprppap,140.0
ABplppp,ABplpppa,ABplpppp,140.0
ABplppa,ABplppaa,ABplppap,140.0
ABprppp,ABprpppp,ABprpppa,140.0
P4,Z2,Z3,140.0
ABalppa,ABalppap,ABalppaa,140.0
MSaaa,MSaaap,MSaaaa,145.0
MSaap,MSaapa,MSaapp,145.0
ABalpppp,ABalppppa,ABalppppp,148.0
MSapa,MSapap,MSapaa,150.0
MSpaa,MSpaaa,MSpaap,150.0
MSpap,MSpapp,MSpapa,150.0
MSapp,MSappa,MSappp,150.0
ABalppap,ABalppapp,ABalppapa,153.0
MSppa,MSppap,MSppaa,155.0
MSppp,MSpppp,MSpppa,155.0
ABalapap,ABalapapp,ABalapapa,160.0
ABalappp,ABalapppa,ABalapppp,160.0
ABalppaa,ABalppaap,ABalppaaa,163.0
ABpraaap,ABpraaapp,ABpraaapa,165.0
ABalpaap,ABalpaapp,ABalpaapa,165.0
ABalpapa,ABalpapaa,ABalpapap,165.0
ABalpapp,ABalpappa,ABalpappp,165.0
ABprpapa,ABprpapaa,ABprpapap,165.0
Eal,Eala,Ealp,165.0
ABprpapp,ABprpappa,ABprpappp,165.0
Dp,Dpp,Dpa,165.0
ABalpppa,ABalpppap,ABalpppaa,165.0
Ear,Eara,Earp,165.0
Da,Daa,Dap,165.0
Caaa,Caaap,Caaaa,165.0
ABalapaa,ABalapaaa,ABalapaap,170.0
ABalaaap,ABalaaapp,ABalaaapa,170.0
Cpaa,Cpaap,Cpaaa,170.0
ABalaapp,ABalaappa,ABalaappp,170.0
ABprpppa,ABprpppaa,ABprpppap,170.0
ABprpppp,ABprppppa,ABprppppp,170.0
ABplaaaa,ABplaaaaa,ABplaaaap,170.0
ABarpaap,ABarpaapp,ABarpaapa,170.0
Epl,Eplp,Epla,170.0
Epr,Epra,Eprp,170.0
ABplaaap,ABplaaapa,ABplaaapp,170.0
ABprappa,ABprappap,ABprappaa,170.0
ABplaapa,ABplaapaa,ABplaapap,170.0
ABplappa,ABplappaa,ABplappap,170.0
ABplaapp,ABplaappa,ABplaappp,170.0
ABplapap,ABplapapa,ABplapapp,170.0
ABprapap,ABprapapp,ABprapapa,170.0
ABpraapp,ABpraappa,ABpraappp,170.0
ABplpapa,ABplpapap,ABplpapaa,170.0
ABalappa,ABalappaa,ABalappap,170.0
ABplpppa,ABplpppaa,ABplpppap,170.0
ABplpapp,ABplpappp,ABplpappa,170.0
ABplpppp,ABplppppp,ABplppppa,170.0
ABpraaaa,ABpraaaap,ABpraaaaa,170.0
ABpraapa,ABpraapaa,ABpraapap,170.0
ABprppaa,ABprppaaa,ABprppaap,175.0
ABprppap,ABprppapp,ABprppapa,175.0
ABarappa,ABarappaa,ABarappap,175.0
ABaraapp,ABaraappp,ABaraappa,175.0
ABaraapa,ABaraapaa,ABaraapap,175.0
ABalaapa,ABalaapaa,ABalaapap,175.0
ABplppaa,ABplppaap,ABplppaaa,175.0
ABplappp,ABplapppp,ABplapppa,175.0
ABplpaap,ABplpaapa,ABplpaapp,175.0
ABarappp,ABarapppa,ABarapppp,175.0
ABarapap,ABarapapp,ABarapapa,175.0
ABaraaap,ABaraaapa,ABaraaapp,175.0
ABarpapa,ABarpapap,ABarpapaa,175.0
ABarpapp,ABarpappa,ABarpappp,175.0
ABprappp,ABprapppp,ABprapppa,175.0
ABprpaap,ABprpaapa,ABprpaapp,175.0
Cpap,Cpapp,Cpapa,175.0
ABalaaaa,ABalaaaar,ABalaaaal,175.0
ABplppap,ABplppapa,ABplppapp,175.0
ABalpaaa,ABalpaaaa,ABalpaaap,175.0
ABprapaa,ABprapaap,ABprapaaa,175.0
ABplapaa,ABplapaaa,ABplapaap,175.0
MSaapa,MSaapaa,MSaapap,180.0
ABarpppp,ABarppppp,ABarppppa,180.0
ABarpaaa,ABarpaaap,ABarpaaaa,180.0
ABarppap,ABarppapp,ABarppapa,180.0
ABplpaaa,ABplpaaap,ABplpaaaa,180.0
ABprpaaa,ABprpaaap,ABprpaaaa,180.0
ABaraaaa,ABaraaaap,ABaraaaaa,180.0
ABarapaa,ABarapaaa,ABarapaap,180.0
Caap,Caapp,Caapa,180.0
MSaaaa,MSaaaap,MSaaaaa,180.0
MSpaaa,MSpaaaa,MSpaaap,185.0
Cppa,Cppap,Cppaa,185.0
MSpapa,MSpapap,MSpapaa,185.0
Capp,Cappa,Cappp,185.0
Capa,Capaa,Capap,185.0
Cppp,Cpppa,Cpppp,185.0
ABarppaa,ABarppaap,ABarppaaa,187.0
ABarpppa,ABarpppaa,ABarpppap,187.0
MSaaap,MSaaapa,MSaaapp,188.0
MSapap,MSapapa,MSapapp,188.0
MSapaa,MSapaaa,MSapaap,188.0
MSpaap,MSpaapp,MSpaapa,190.0
MSppap,MSppapa,MSppapp,190.0
MSppaa,MSppaaa,MSppaap,190.0
MSappp,MSapppa,MSapppp,194.0
MSaapp,MSaappa,MSaappp,194.0
MSappa,MSappaa,MSappap,194.0
MSpppa,MSpppap,MSpppaa,195.0
MSpppp,MSppppa,MSppppp,195.0
MSpapp,MSpappp,MSpappa,195.0
Dap,Dapa,Dapp,200.0
Dpp,Dppp,Dppa,200.0
ABalapppp,ABalappppp,ABalappppa,210.0
ABarapapp,ABarapappp,ABarapappa,210.0
ABalapapp,ABalapappp,ABalapappa,210.0
Dpa,Dpap,Dpaa,210.0
Daa,Daap,Daaa,210.0
ABplpappa,ABplpappap,ABplpappaa,210.0
ABalapppa,ABalapppaa,ABalapppap,213.0
ABplapapp,ABplapappp,P11,215.0
ABplappap,V3L,P7,215.0
ABplappaa,P5,P3,215.0
ABalapaaa,ABalapaaaa,ABalapaaap,215.0
ABplpaapp,ABplpaappa,ABplpaappp,215.0
ABplpapap,ABplpapapa,ABplpapapp,215.0
ABalappap,ABalappapp,ABalappapa,215.0
ABplapapa,ABplapapaa,P9,215.0
ABplaappp,hyp7,hyp7,215.0
ABalpappp,ABalpapppa,ABalpapppp,215.0
ABalapaap,ABalapaapp,ABalapaapa,215.0
ABarapapa,ABarapapap,ABarapapaa,215.0
ABarpaapp,hyp7,hyp7,215.0
ABalapapa,ABalapapaa,ABalapapap,215.0
ABalppapp,ABalppappa,ABalppappp,217.0
ABalppppp,ABalpppppa,ABalpppppp,217.0
ABplpapaa,ABplpapaap,ABplpapaaa,217.0
ABalpappa,ABalpappap,ABalpappaa,217.0
ABarapppp,ABarappppp,ABarappppa,218.0
ABarapppa,ABarapppap,ABarapppaa,220.0
ABalppapa,ABalppapap,ABalppapaa,220.0
ABprpappa,ABprpappap,ABprpappaa,220.0
ABplapaaa,ABplapaaaa,ABplapaaap,220.0
ABalaappp,ABalaapppp,ABalaapppa,220.0
ABplppppa,ABplppppaa,ABplppppap,220.0
ABpraaapp,ABpraaappa,ABpraaappp,220.0
ABplpappp,ABplpapppp,ABplpapppa,220.0
ABplppppp,ABplpppppp,ABplpppppa,220.0
ABprpaapp,ABprpaappp,ABprpaappa,220.0
Caaaa,hyp7,hyp7,220.0
ABarappap,ABarappapp,ABarappapa,220.0
Cpaap,hyp7,hyp7,220.0
ABprpapap,ABprpapapa,ABprpapapp,220.0
Cpaaa,hyp7,hyp7,222.0
Caaap,hyp7,hyp7,222.0
ABprapapa,P10,ABprapapaa,223.0
ABprapapp,P12,ABprapappp,223.0
ABprappap,P8,V3R,223.0
ABpraappp,hyp7,hyp7,223.0
ABalppppa,ABalppppaa,ABalppppap,223.0
ABprappaa,P6,P4,223.0
ABplaaapp,H1L,H0L,225.0
ABplpppaa,ABplpppaaa,ABplpppaap,225.0
ABplpaaap,ABplpaaapp,ABplpaaapa,225.0
ABprpaaap,ABprpaaapp,ABprpaaapa,225.0
ABprpaaaa,ABprpaaaap,ABprpaaaaa,225.0
ABalpppap,ABalpppapa,ABalpppapp,225.0
ABprpaapa,ABprpaapaa,ABprpaapap,225.0
ABprpapaa,ABprpapaap,ABprpapaaa,225.0
ABarpappp,H1R,H0R,225.0
ABprppppp,ABprpppppa,ABprpppppp,225.0
ABalpaapa,ABalpaapaa,ABalpaapap,225.0
ABprapaaa,ABprapaaaa,ABprapaaap,225.0
ABplapaap,G2,P1,225.0
ABaraaapa,ABaraaapap,ABaraaapaa,225.0
ABalaaapa,ABalaaapar,ABalaaapal,225.0
ABalaaapp,ABalaaappr,ABalaaappl,225.0
ABprppppa,ABprppppaa,ABprppppap,225.0
ABarpaapa,hyp7,hyp6,225.0
ABprpappp,ABprpapppp,ABprpapppa,225.0
ABalpapap,ABalpapapp,ABalpapapa,225.0
ABplpaaaa,ABplpaaaap,ABplpaaaaa,225.0
ABplpppap,ABplpppapa,ABplpppapp,225.0
ABprapaap,W,P2,225.0
ABpraaapa,ABpraaapaa,ABpraaapap,226.0
ABplpaapa,ABplpaapap,ABplpaapaa,227.0
ABpraaaap,ABpraaaapp,ABpraaaapa,227.0
ABaraapaa,ABaraapaaa,ABaraapaap,228.0
ABaraapap,ABaraapapa,ABaraapapp,228.0
ABaraappa,ABaraappap,ABaraappaa,228.0
ABprpppaa,ABprpppaap,ABprpppaaa,228.0
ABalpapaa,ABalpapaap,ABalpapaaa,228.0
MSaaaaa,MSaaaaap,MSaaaaaa,228.0
ABarappaa,ABarappaaa,ABarappaap,228.0
ABaraappp,ABaraapppa,ABaraapppp,228.0
ABprpppap,ABprpppapa,ABprpppapp,228.0
ABarapaap,ABarapaapp,ABarapaapa,228.0
ABplppapa,ABplppapap,ABplppapaa,230.0
ABprppapp,ABprppappa,ABprppappp,230.0
ABplppapp,ABplppappp,ABplppappa,230.0
ABplppaaa,ABplppaaap,ABplppaaaa,230.0
ABpraapaa,ABpraapaaa,ABpraapaap,230.0
ABplaapaa,ABplaapaap,ABplaapaaa,230.0
ABplaapap,ABplaapapp,ABplaapapa,230.0
ABplaappa,hyp6,hyp4,230.0
Earp,int2D,int5R,230.0
MSpaaaa,MSpaaaaa,MSpaaaap,230.0
ABarppaap,hyp7,ABarppaapp,230.0
ABprapppa,ABprapppap,ABprapppaa,230.0
ABarppapp,V6L,V4L,230.0
ABarppapa,V1L,V2L,230.0
ABarpapap,hyp4,hyp6,230.0
Ealp,int5L,int2V,230.0
Eara,Earaa,int3D,230.0
Eala,int3V,Ealaa,230.0
ABplaaaap,hyp6,hyp6,230.0
ABarppppp,V6R,V4R,230.0
ABarpppap,hyp7,ABarpppapp,230.0
ABprppaaa,ABprppaaaa,ABprppaaap,230.0
ABaraaapp,ABaraaappa,ABaraaappp,230.0
Cpapa,hyp7,hyp7,230.0
ABarapaaa,ABarapaaaa,ABarapaaap,230.0
ABprppapa,ABprppapap,ABprppapaa,230.0
ABprapppp,TR,hyp7,230.0
ABalppaap,ABalppaapa,ABalppaapp,230.0
ABarppppa,V1R,V2R,230.0
ABpraappa,hyp6,hyp4,230.0
ABpraapap,ABpraapapa,ABpraapapp,230.0
ABplapppp,TL,hyp7,230.0
ABplapppa,ABplapppap,ABplapppaa,230.0
ABalpaapp,ABalpaappp,ABalpaappa,230.0
ABarppaaa,ADEshL,H2L,235.0
ABarpppaa,ADEshR,H2R,235.0
Epla,int6L,int4V,235.0
ABarpapaa,ABarpapaaa,ABarpapaap,235.0
ABprppaap,ABprppaapa,ABprppaapp,235.0
Caapp,hyp7,PVR,235.0
Cpapp,hyp7,hyp11,235.0
ABplppaap,ABplppaapp,ABplppaapa,235.0
MSpapaa,MSpapaap,MSpapaaa,235.0
ABplaaaaa,ABplaaaaaa,ABplaaaaap,235.0
Epra,int6R,int4D,235.0
MSpaaap,MSpaaapa,MSpaaapp,235.0
MSaaaap,MSaaaapp,MSaaaapa,235.0
MSaapaa,MSaapaaa,MSaapaap,235.0
ABalpppaa,ABalpppaap,ABalpppaaa,237.0
ABalppaaa,ABalppaaap,ABalppaaaa,237.0
ABalpaaaa,ABalpaaaap,ABalpaaaaa,237.0
ABalpaaap,ABalpaaapa,ABalpaaapp,237.0
MSaaapa,MSaaapaa,MSaaapap,240.0
MSaapap,MSaapapa,MSaapapp,240.0
MSapaaa,MSapaaaa,mu bod,240.0
ABpraaaaa,ABpraaaaap,ABpraaaaaa,240.0
ABalappaa,ABalappaaa,ABalappaap,240.0
ABaraaaaa,ABaraaaaap,ABaraaaaaa,240.0
Cpppp,Cppppp,Cppppa,240.0
MSpapap,MSpapapa,MSpapapp,240.0
Cappa,Cappaa,Cappap,240.0
Cappp,Capppa,Capppp,240.0
ABarpappa,hyp5,XXXR,240.0
ABalaapap,ABalaapapp,ABalaapapa,240.0
Cpppa,Cpppaa,Cpppap,240.0
ABplaaapa,XXXL,hyp5,240.0
MSppapa,mu bod,MSppapaa,240.0
MSppaaa,mu bod,MSppaaaa,240.0
ABalaapaa,ABalaapaap,ABalaapaaa,240.0
ABarpaaaa,ABarpaaaap,ABarpaaaaa,240.0
ABarpaaap,ABarpaaapa,ABarpaaapp,240.0
MSapapa,mu bod,MSapapaa,240.0
